ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,QuoteValue,RiskScore,ActionRequired
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00001,Quote,Commercial,Quote Process Owner,Sara Novak,EMEA,SG10,Nova Mobility,Configured,2025-04-23,2025-05-14,2025-05-28,21,35,True,System integration gap,404395.01,67,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00002,Quote,Commercial,Quote Process Owner,Kenji Tanaka,APAC,PL10,Nova Mobility,Priced,2025-07-20,2025-07-30,2025-07-27,10,7,False,,102502.24,44,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00003,Quote,Commercial,Quote Process Owner,Alex Chen,EMEA,DE10,Atlas Systems,Quote Sent,2025-08-06,2025-08-16,2025-08-17,10,11,True,Missing master data,190182.5,79,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00004,Quote,Commercial,Quote Process Owner,Priya Rao,AMER,SG10,Orion Technologies,Need Captured,2026-01-07,2026-01-21,2026-01-20,14,13,False,,573310.73,32,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00005,Quote,Commercial,Quote Process Owner,Kenji Tanaka,APAC,SG10,Atlas Systems,Quote Sent,2025-03-07,2025-03-14,2025-03-19,7,12,True,System integration gap,219298.03,47,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00006,Quote,Commercial,Quote Process Owner,Thomas Weber,APAC,DE10,Atlas Systems,Approved,2025-01-17,2025-02-16,2025-02-26,30,40,True,System integration gap,15203.45,31,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00007,Quote,Commercial,Quote Process Owner,Alex Chen,AMER,DE10,Orion Technologies,Configured,2026-03-24,2026-03-29,2026-03-31,5,7,True,Supplier delay,221851.4,75,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00008,Quote,Commercial,Quote Process Owner,Jon Miller,APAC,DE20,Orion Technologies,Quote Sent,2025-10-04,2025-10-18,2025-10-19,14,15,True,Approval delay,513727.62,9,True
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00009,Quote,Commercial,Quote Process Owner,Nina Patel,EMEA,DE20,Atlas Systems,Configured,2025-04-10,2025-04-15,2025-04-13,5,3,False,,291618.29,26,False
lead2quote,Lead2Quote / Configure2Quote,LEAD2QUOTE-00010,Quote,Commercial,Quote Process Owner,Alex Chen,EMEA,US10,Apex Industries,Need Captured,2026-02-10,2026-02-15,2026-02-12,5,2,False,,123859.96,9,False
