ProcessID,ProcessName,Domain,Connector,Category,Modes,PowerQueryFunction
lead2order,Lead2Order,Commercial,Salesforce Objects,Online Services,Import,Salesforce.Data
lead2order,Lead2Order,Commercial,Dynamics 365,Online Services,Import,OData.Feed
lead2order,Lead2Order,Commercial,Dataverse,Power Platform,Import; DirectQuery,CommonDataService.Database
lead2order,Lead2Order,Commercial,OData,Other,Import,OData.Feed
lead2order,Lead2Order,Commercial,SQL Server database,Database,Import; DirectQuery,Sql.Database
lead2order,Lead2Order,Commercial,Snowflake,Database,Import; DirectQuery,Snowflake.Databases
lead2order,Lead2Order,Commercial,Lakehouses,Microsoft Fabric,Import; Direct Lake; DirectQuery,Lakehouse.Contents
lead2order,Lead2Order,Commercial,REST API,Other,Import,Web.Contents
order2cash,Order2Cash,Commercial,Salesforce Objects,Online Services,Import,Salesforce.Data
order2cash,Order2Cash,Commercial,Dynamics 365,Online Services,Import,OData.Feed
order2cash,Order2Cash,Commercial,Dataverse,Power Platform,Import; DirectQuery,CommonDataService.Database
order2cash,Order2Cash,Commercial,OData,Other,Import,OData.Feed
order2cash,Order2Cash,Commercial,SQL Server database,Database,Import; DirectQuery,Sql.Database
order2cash,Order2Cash,Commercial,Snowflake,Database,Import; DirectQuery,Snowflake.Databases
order2cash,Order2Cash,Commercial,Lakehouses,Microsoft Fabric,Import; Direct Lake; DirectQuery,Lakehouse.Contents
order2cash,Order2Cash,Commercial,REST API,Other,Import,Web.Contents
source2contract,Source2Contract,Procurement,SAP HANA database,Database,Import; DirectQuery,SapHana.Database
source2contract,Source2Contract,Procurement,SAP Business Warehouse Application Server,Database,Import; DirectQuery,SapBusinessWarehouse.Cubes
source2contract,Source2Contract,Procurement,OData,Other,Import,OData.Feed
source2contract,Source2Contract,Procurement,Oracle database,Database,Import; DirectQuery,Oracle.Database
source2contract,Source2Contract,Procurement,SQL Server database,Database,Import; DirectQuery,Sql.Database
source2contract,Source2Contract,Procurement,Dataverse,Power Platform,Import; DirectQuery,CommonDataService.Database
source2contract,Source2Contract,Procurement,REST API,Other,Import,Web.Contents
source2contract,Source2Contract,Procurement,SharePoint Online List,Online Services,Import,SharePoint.Tables
procure2pay,Procure2Pay,Procurement,SAP HANA database,Database,Import; DirectQuery,SapHana.Database
procure2pay,Procure2Pay,Procurement,SAP Business Warehouse Application Server,Database,Import; DirectQuery,SapBusinessWarehouse.Cubes
procure2pay,Procure2Pay,Procurement,OData,Other,Import,OData.Feed
procure2pay,Procure2Pay,Procurement,Oracle database,Database,Import; DirectQuery,Oracle.Database
procure2pay,Procure2Pay,Procurement,SQL Server database,Database,Import; DirectQuery,Sql.Database
procure2pay,Procure2Pay,Procurement,Dataverse,Power Platform,Import; DirectQuery,CommonDataService.Database
procure2pay,Procure2Pay,Procurement,REST API,Other,Import,Web.Contents
procure2pay,Procure2Pay,Procurement,Excel Workbook,File,Import,Excel.Workbook
forecast2plan,Forecast2Plan,Supply Chain,SAP HANA database,Database,Import; DirectQuery,SapHana.Database
forecast2plan,Forecast2Plan,Supply Chain,SQL Server database,Database,Import; DirectQuery,Sql.Database
forecast2plan,Forecast2Plan,Supply Chain,Oracle database,Database,Import; DirectQuery,Oracle.Database
forecast2plan,Forecast2Plan,Supply Chain,Snowflake,Database,Import; DirectQuery,Snowflake.Databases
forecast2plan,Forecast2Plan,Supply Chain,Azure Synapse Analytics SQL,Azure,Import; DirectQuery,Sql.Database
forecast2plan,Forecast2Plan,Supply Chain,Lakehouses,Microsoft Fabric,Import; Direct Lake; DirectQuery,Lakehouse.Contents
forecast2plan,Forecast2Plan,Supply Chain,REST API,Other,Import,Web.Contents
forecast2plan,Forecast2Plan,Supply Chain,OData,Other,Import,OData.Feed
plan2produce,Plan2Produce,Manufacturing,SAP HANA database,Database,Import; DirectQuery,SapHana.Database
plan2produce,Plan2Produce,Manufacturing,SQL Server database,Database,Import; DirectQuery,Sql.Database
plan2produce,Plan2Produce,Manufacturing,Oracle database,Database,Import; DirectQuery,Oracle.Database
plan2produce,Plan2Produce,Manufacturing,Spark,Other,Import; DirectQuery,Spark.Tables
plan2produce,Plan2Produce,Manufacturing,Azure Data Explorer (Kusto),Azure,Import; DirectQuery,Kusto.Contents
plan2produce,Plan2Produce,Manufacturing,REST API,Other,Import,Web.Contents
plan2produce,Plan2Produce,Manufacturing,SAP Business Warehouse Application Server,Database,Import; DirectQuery,SapBusinessWarehouse.Cubes
plan2produce,Plan2Produce,Manufacturing,OData,Other,Import,OData.Feed
make_strategy,Make2Stock / Make2Order / Engineer2Order,Manufacturing,SAP HANA database,Database,Import; DirectQuery,SapHana.Database
