ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,ContractValue,RiskScore,ActionRequired
quote2contract,Quote2Contract,QUOTE2CONTRACT-00001,Contract,Commercial,Quote-to-Contract Process Owner,Maria Garcia,EMEA,SG10,Orion Technologies,Signed,2025-07-19,2025-07-24,2025-07-25,5,6,True,Missing master data,383298.44,88,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00002,Contract,Commercial,Quote-to-Contract Process Owner,Jon Miller,AMER,DE10,Global Components,Quote Accepted,2025-09-03,2025-10-03,2025-10-21,30,48,True,Missing master data,121695.44,62,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00003,Contract,Commercial,Quote-to-Contract Process Owner,Priya Rao,AMER,US10,Global Components,Signed,2025-05-17,2025-05-22,2025-05-26,5,9,True,Quality hold,720409.87,79,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00004,Contract,Commercial,Quote-to-Contract Process Owner,Priya Rao,EMEA,DE10,Atlas Systems,Draft Created,2025-02-07,2025-02-28,2025-03-01,21,22,True,Approval delay,697747.92,52,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00005,Contract,Commercial,Quote-to-Contract Process Owner,Alex Chen,EMEA,US10,Nova Mobility,Draft Created,2025-09-28,2025-10-19,2025-10-27,21,29,True,Quality hold,443826.42,24,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00006,Contract,Commercial,Quote-to-Contract Process Owner,Thomas Weber,APAC,DE20,Nova Mobility,Signed,2025-07-22,2025-08-01,2025-08-02,10,11,True,Supplier delay,668566.31,68,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00007,Contract,Commercial,Quote-to-Contract Process Owner,Maria Garcia,APAC,PL10,Atlas Systems,Signed,2025-03-04,2025-03-25,2025-03-30,21,26,True,Capacity constraint,92642.67,18,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00008,Contract,Commercial,Quote-to-Contract Process Owner,Priya Rao,AMER,DE20,Atlas Systems,Signed,2025-07-24,2025-08-14,2025-08-27,21,34,True,Quality hold,236521.55,66,True
quote2contract,Quote2Contract,QUOTE2CONTRACT-00009,Contract,Commercial,Quote-to-Contract Process Owner,Sara Novak,APAC,PL10,Apex Industries,Quote Accepted,2025-09-29,2025-10-02,2025-10-01,3,2,False,Approval delay,139702.36,12,False
quote2contract,Quote2Contract,QUOTE2CONTRACT-00010,Contract,Commercial,Quote-to-Contract Process Owner,Jon Miller,EMEA,DE10,Orion Technologies,Draft Created,2025-04-02,2025-04-23,2025-05-24,21,52,True,Supplier delay,232270.78,35,True
