CapabilityID,CapabilityName,CapabilityType,Contract,Recipe,Evidence
real_source_connector_runner,Real Source Connector Runner,connector-runtime,outputs/powerbi-premium-usp-layer/capabilities/real_source_connector_runner/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/real_source_connector_runner/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/real_source_connector_runner/evidence_contract.json
credential_safe_source_session,Credential-Safe Source Session,security-runtime,outputs/powerbi-premium-usp-layer/capabilities/credential_safe_source_session/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/credential_safe_source_session/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/credential_safe_source_session/evidence_contract.json
auto_field_mapping_ai,Auto Field Mapping AI,mapping-ai,outputs/powerbi-premium-usp-layer/capabilities/auto_field_mapping_ai/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/auto_field_mapping_ai/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/auto_field_mapping_ai/evidence_contract.json
process_mining_import,Process Mining Import,process-mining,outputs/powerbi-premium-usp-layer/capabilities/process_mining_import/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/process_mining_import/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/process_mining_import/evidence_contract.json
kpi_ontology_graph,KPI Ontology / KPI Knowledge Graph,knowledge-graph,outputs/powerbi-premium-usp-layer/capabilities/kpi_ontology_graph/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/kpi_ontology_graph/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/kpi_ontology_graph/evidence_contract.json
business_question_router,Business Question Router,intake-ai,outputs/powerbi-premium-usp-layer/capabilities/business_question_router/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/business_question_router/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/business_question_router/evidence_contract.json
semantic_model_auto_repair,Semantic Model Auto-Repair,model-repair,outputs/powerbi-premium-usp-layer/capabilities/semantic_model_auto_repair/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/semantic_model_auto_repair/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/semantic_model_auto_repair/evidence_contract.json
pbir_visual_materializer,PBIR Visual Materializer,report-runtime,outputs/powerbi-premium-usp-layer/capabilities/pbir_visual_materializer/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/pbir_visual_materializer/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/pbir_visual_materializer/evidence_contract.json
full_pbip_generator_all_processes,Full PBIP Generator For All Processes,pbip-runtime,outputs/powerbi-premium-usp-layer/capabilities/full_pbip_generator_all_processes/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/full_pbip_generator_all_processes/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/full_pbip_generator_all_processes/evidence_contract.json
powerbi_desktop_log_parser,Power BI Desktop Log Parser,desktop-qa,outputs/powerbi-premium-usp-layer/capabilities/powerbi_desktop_log_parser/premium_contract.json,outputs/powerbi-premium-usp-layer/capabilities/powerbi_desktop_log_parser/execution_recipe.md,outputs/powerbi-premium-usp-layer/capabilities/powerbi_desktop_log_parser/evidence_contract.json
