ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,DowntimeCost,RiskScore,ActionRequired
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00001,Work Order,Maintenance,Maintenance Process Owner,Priya Rao,AMER,DE20,Euro Logistics,Work Order Planned,2025-07-08,2025-07-29,2025-07-27,21,19,False,,382820.17,12,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00002,Work Order,Maintenance,Maintenance Process Owner,Maria Garcia,EMEA,DE20,Zenith Precision,Parts Available,2025-06-02,2025-06-23,2025-06-03,21,1,False,,643004.48,8,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00003,Work Order,Maintenance,Maintenance Process Owner,Sara Novak,EMEA,PL10,Summit Supply,Parts Available,2025-10-31,2025-11-07,2025-11-12,7,12,True,Missing master data,323990.83,97,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00004,Work Order,Maintenance,Maintenance Process Owner,Priya Rao,EMEA,DE10,Meyer Metals,Asset Released,2025-05-23,2025-06-02,2025-06-11,10,19,True,Missing master data,435608.89,19,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00005,Work Order,Maintenance,Maintenance Process Owner,Priya Rao,APAC,PL10,Meyer Metals,Notification Created,2025-04-25,2025-05-25,2025-06-02,30,38,True,Quality hold,615202.12,76,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00006,Work Order,Maintenance,Maintenance Process Owner,Alex Chen,AMER,DE10,Zenith Precision,Parts Available,2025-06-01,2025-06-06,2025-06-09,5,8,True,Missing master data,484171.53,60,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00007,Work Order,Maintenance,Maintenance Process Owner,Jon Miller,EMEA,DE20,Zenith Precision,Work Order Planned,2025-03-13,2025-04-12,2025-04-07,30,25,False,,522019.9,15,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00008,Work Order,Maintenance,Maintenance Process Owner,Priya Rao,APAC,DE20,Pacific Electronics,Work Order Planned,2025-07-30,2025-08-06,2025-08-05,7,6,False,,226524.3,78,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00009,Work Order,Maintenance,Maintenance Process Owner,Thomas Weber,AMER,PL10,Meyer Metals,Work Order Planned,2026-02-16,2026-02-19,2026-02-19,3,3,False,Pricing exception,592039.44,69,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00010,Work Order,Maintenance,Maintenance Process Owner,Kenji Tanaka,AMER,DE10,Zenith Precision,Work Completed,2026-03-22,2026-03-29,2026-03-30,7,8,True,Supplier delay,27477.24,38,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00011,Work Order,Maintenance,Maintenance Process Owner,Maria Garcia,AMER,SG10,Euro Logistics,Asset Released,2025-12-30,2026-01-02,2025-12-31,3,1,False,,112299.91,40,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00012,Work Order,Maintenance,Maintenance Process Owner,Nina Patel,AMER,DE20,Zenith Precision,Asset Released,2025-06-25,2025-07-02,2025-06-29,7,4,False,,474380.55,78,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00013,Work Order,Maintenance,Maintenance Process Owner,Priya Rao,APAC,PL10,Summit Supply,Notification Created,2025-08-01,2025-08-04,2025-08-04,3,3,False,,269205.89,96,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00014,Work Order,Maintenance,Maintenance Process Owner,Sara Novak,AMER,PL10,Summit Supply,Work Order Planned,2025-12-08,2025-12-18,2025-12-13,10,5,False,,258044.5,13,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00015,Work Order,Maintenance,Maintenance Process Owner,Maria Garcia,APAC,DE10,Summit Supply,Work Completed,2026-02-03,2026-02-10,2026-02-13,7,10,True,Supplier delay,275949.52,35,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00016,Work Order,Maintenance,Maintenance Process Owner,Maria Garcia,APAC,PL10,Euro Logistics,Parts Available,2025-06-06,2025-06-13,2025-06-11,7,5,False,Supplier delay,530796.64,98,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00017,Work Order,Maintenance,Maintenance Process Owner,Jon Miller,EMEA,DE20,Meyer Metals,Work Completed,2025-11-29,2025-12-09,2025-12-11,10,12,True,Capacity constraint,17959.06,23,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00018,Work Order,Maintenance,Maintenance Process Owner,Sara Novak,AMER,SG10,Meyer Metals,Work Order Planned,2025-05-29,2025-06-05,2025-06-02,7,4,False,Supplier delay,442796.32,27,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00019,Work Order,Maintenance,Maintenance Process Owner,Thomas Weber,EMEA,SG10,Meyer Metals,Asset Released,2025-01-12,2025-01-22,2025-01-18,10,6,False,,142560.23,96,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00020,Work Order,Maintenance,Maintenance Process Owner,Alex Chen,AMER,SG10,Zenith Precision,Work Completed,2025-04-28,2025-05-01,2025-05-01,3,3,False,,740548.61,71,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00021,Work Order,Maintenance,Maintenance Process Owner,Thomas Weber,EMEA,DE10,Euro Logistics,Asset Released,2025-11-05,2025-11-19,2025-11-28,14,23,True,Capacity constraint,641021.28,89,True
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00022,Work Order,Maintenance,Maintenance Process Owner,Thomas Weber,EMEA,SG10,Summit Supply,Parts Available,2025-11-17,2025-11-22,2025-11-22,5,5,False,Approval delay,515914.17,74,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00023,Work Order,Maintenance,Maintenance Process Owner,Maria Garcia,AMER,SG10,Euro Logistics,Work Order Planned,2025-11-22,2025-12-06,2025-12-03,14,11,False,,698950.99,78,False
maintain2operate,Maintain2Operate,MAINTAIN2OPERATE-00024,Work Order,Maintenance,Maintenance Process Owner,Nina Patel,EMEA,DE10,Pacific Electronics,Work Order Planned,2025-02-17,2025-02-24,2025-02-22,7,5,False,,246147.85,83,False
