ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
market2lead,Market2Lead,2025-01,Campaign ROI,36.26,41.58,2.08,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-01,MQL Conversion,24.88,30.11,1.51,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-01,CAC,44.32,53.95,2.7,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-01,Lead Velocity,24.73,25.21,1.26,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-01,Qualified Pipeline,16.84,22.37,1.12,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-02,Campaign ROI,37.51,37.08,1.85,Green,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-02,MQL Conversion,40.09,46.59,2.33,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-02,CAC,38.89,46.81,2.34,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-02,Lead Velocity,21.99,22.75,1.14,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-02,Qualified Pipeline,46.68,50.08,2.5,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-03,Campaign ROI,21.56,24.33,1.22,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-03,MQL Conversion,18.72,21.56,1.08,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-03,CAC,25.91,26.83,1.34,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-03,Lead Velocity,37.88,48.97,2.45,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-03,Qualified Pipeline,36.25,43.78,2.19,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-04,Campaign ROI,50.09,57.99,2.9,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-04,MQL Conversion,20.35,21.8,1.09,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-04,CAC,47.68,53.87,2.69,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-04,Lead Velocity,45.74,46.01,2.3,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-04,Qualified Pipeline,46.39,52.44,2.62,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-05,Campaign ROI,10.84,13.69,0.68,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-05,MQL Conversion,45.61,48.57,2.43,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-05,CAC,7.82,10.55,0.53,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-05,Lead Velocity,33.28,34.45,1.72,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-05,Qualified Pipeline,52.93,53.68,2.68,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-06,Campaign ROI,48.28,47.82,2.39,Green,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-06,MQL Conversion,45.99,52.23,2.61,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-06,CAC,16.69,24.13,1.21,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-06,Lead Velocity,27.42,29.35,1.47,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-06,Qualified Pipeline,37.25,39.07,1.95,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-07,Campaign ROI,43.65,53.12,2.66,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-07,MQL Conversion,40.79,43.04,2.15,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-07,CAC,20.88,23.64,1.18,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-07,Lead Velocity,42.39,41.08,2.05,Green,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-07,Qualified Pipeline,42.05,47.18,2.36,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-08,Campaign ROI,27.54,28.93,1.45,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-08,MQL Conversion,19.68,25.81,1.29,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-08,CAC,44.28,45.89,2.29,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-08,Lead Velocity,15.67,20.3,1.02,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-08,Qualified Pipeline,49.83,57.8,2.89,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-09,Campaign ROI,49.27,46.99,2.35,Green,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-09,MQL Conversion,10.64,13.12,0.66,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-09,CAC,21.35,23.28,1.16,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-09,Lead Velocity,28.08,31.43,1.57,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-09,Qualified Pipeline,42.68,43.01,2.15,Amber,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-10,Campaign ROI,40.06,50.38,2.52,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
market2lead,Market2Lead,2025-10,MQL Conversion,48.22,54.79,2.74,Red,Marketing Process Owner,Marketing Automation; CRM; Web Analytics; Ad Platforms
