ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
idea2launch,Idea2Launch / Engineer2Release,2025-01,Gate Adherence,22.44,25.73,1.29,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-01,Change Backlog,46.62,53.67,2.68,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-01,Launch Risk,28.36,36.22,1.81,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-01,Ramp-Up Readiness,50.58,48.24,2.41,Green,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-01,Engineering Cycle Time,24.45,25.33,1.27,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-02,Gate Adherence,48.25,47.51,2.38,Green,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-02,Change Backlog,27.41,34.73,1.74,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-02,Launch Risk,29.76,29.31,1.47,Green,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-02,Ramp-Up Readiness,28.81,30.14,1.51,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-02,Engineering Cycle Time,23.42,29.94,1.5,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-03,Gate Adherence,22.23,22.44,1.12,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-03,Change Backlog,15.44,20.46,1.02,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-03,Launch Risk,29.56,36.87,1.84,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-03,Ramp-Up Readiness,24.72,26.4,1.32,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-03,Engineering Cycle Time,48.57,56.24,2.81,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-04,Gate Adherence,14.23,17.05,0.85,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-04,Change Backlog,35.17,40.04,2.0,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-04,Launch Risk,30.56,32.49,1.62,Amber,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
idea2launch,Idea2Launch / Engineer2Release,2025-04,Ramp-Up Readiness,27.73,33.03,1.65,Red,Product Lifecycle Process Owner,PLM; PPM; QMS; ERP Engineering
