ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
design2cost,Design2Cost / Design2Source,2025-01,Target Cost Variance,24.39,26.74,1.34,Amber,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-01,Part Reuse %,63.61,76.9,3.85,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-01,Single-Source Exposure,21.11,24.86,1.24,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-01,Sourcing Readiness,23.03,29.28,1.46,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-01,Engineering Cost Risk,33.33,38.87,1.94,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-02,Target Cost Variance,14.14,19.35,0.97,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-02,Part Reuse %,96.18,96.46,4.82,Amber,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-02,Single-Source Exposure,24.68,30.22,1.51,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-02,Sourcing Readiness,31.06,30.22,1.51,Green,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-02,Engineering Cost Risk,31.95,36.89,1.84,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-03,Target Cost Variance,36.0,42.88,2.14,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-03,Part Reuse %,71.54,81.34,4.07,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-03,Single-Source Exposure,27.42,30.95,1.55,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-03,Sourcing Readiness,14.78,20.0,1.0,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-03,Engineering Cost Risk,20.46,23.22,1.16,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-04,Target Cost Variance,29.31,31.7,1.58,Amber,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-04,Part Reuse %,78.87,81.23,4.06,Amber,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-04,Single-Source Exposure,29.85,38.33,1.92,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-04,Sourcing Readiness,14.76,19.31,0.97,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-04,Engineering Cost Risk,15.2,19.25,0.96,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-05,Target Cost Variance,19.12,22.97,1.15,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-05,Part Reuse %,79.06,79.31,3.97,Amber,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
design2cost,Design2Cost / Design2Source,2025-05,Single-Source Exposure,12.52,15.55,0.78,Red,Design-to-Cost Process Owner,PLM; Costing; Sourcing; ERP MM
