ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,BlockedValue,RiskScore,ActionRequired
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00001,Nonconformance,Quality,Nonconformance Process Owner,Kenji Tanaka,AMER,DE20,Zenith Precision,Disposition Decided,2025-11-14,2025-12-05,2025-11-26,21,12,False,,602297.73,80,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00002,Nonconformance,Quality,Nonconformance Process Owner,Maria Garcia,APAC,SG10,Meyer Metals,Stock Blocked,2025-02-06,2025-03-08,2025-03-26,30,48,True,Supplier delay,708057.77,45,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00003,Nonconformance,Quality,Nonconformance Process Owner,Priya Rao,EMEA,SG10,Meyer Metals,Review Board,2025-02-06,2025-02-20,2025-02-22,14,16,True,Pricing exception,321222.38,92,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00004,Nonconformance,Quality,Nonconformance Process Owner,Sara Novak,EMEA,DE10,Euro Logistics,Defect Logged,2025-08-23,2025-09-06,2025-09-10,14,18,True,Capacity constraint,696997.55,29,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00005,Nonconformance,Quality,Nonconformance Process Owner,Jon Miller,APAC,SG10,Meyer Metals,Released Or Scrapped,2025-08-16,2025-08-26,2025-08-23,10,7,False,,298373.93,87,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00006,Nonconformance,Quality,Nonconformance Process Owner,Jon Miller,EMEA,US10,Euro Logistics,Review Board,2025-09-24,2025-09-29,2025-09-27,5,3,False,,504185.82,17,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00007,Nonconformance,Quality,Nonconformance Process Owner,Thomas Weber,AMER,SG10,Summit Supply,Defect Logged,2025-05-21,2025-05-24,2025-05-23,3,2,False,,395566.42,56,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00008,Nonconformance,Quality,Nonconformance Process Owner,Maria Garcia,AMER,US10,Euro Logistics,Review Board,2025-06-13,2025-06-18,2025-06-18,5,5,False,,301699.78,63,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00009,Nonconformance,Quality,Nonconformance Process Owner,Sara Novak,AMER,SG10,Pacific Electronics,Stock Blocked,2025-08-17,2025-08-20,2025-08-20,3,3,False,Supplier delay,407358.45,25,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00010,Nonconformance,Quality,Nonconformance Process Owner,Sara Novak,APAC,SG10,Euro Logistics,Released Or Scrapped,2025-03-19,2025-03-22,2025-03-23,3,4,True,Missing master data,720846.67,12,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00011,Nonconformance,Quality,Nonconformance Process Owner,Kenji Tanaka,EMEA,PL10,Meyer Metals,Review Board,2025-07-01,2025-07-22,2025-08-09,21,39,True,Missing master data,509437.19,31,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00012,Nonconformance,Quality,Nonconformance Process Owner,Jon Miller,APAC,SG10,Meyer Metals,Released Or Scrapped,2025-03-27,2025-04-26,2025-05-23,30,57,True,Pricing exception,50954.76,6,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00013,Nonconformance,Quality,Nonconformance Process Owner,Jon Miller,EMEA,SG10,Summit Supply,Disposition Decided,2025-11-03,2025-11-17,2025-11-16,14,13,False,,20617.29,52,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00014,Nonconformance,Quality,Nonconformance Process Owner,Alex Chen,EMEA,PL10,Meyer Metals,Released Or Scrapped,2025-10-09,2025-10-16,2025-10-22,7,13,True,Quality hold,127982.28,47,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00015,Nonconformance,Quality,Nonconformance Process Owner,Thomas Weber,EMEA,SG10,Meyer Metals,Stock Blocked,2025-07-12,2025-07-22,2025-07-28,10,16,True,System integration gap,214919.85,58,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00016,Nonconformance,Quality,Nonconformance Process Owner,Priya Rao,APAC,US10,Summit Supply,Stock Blocked,2025-11-11,2025-11-18,2025-11-21,7,10,True,Quality hold,583259.49,95,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00017,Nonconformance,Quality,Nonconformance Process Owner,Kenji Tanaka,AMER,DE20,Meyer Metals,Defect Logged,2026-02-11,2026-02-14,2026-02-14,3,3,False,Pricing exception,744380.62,63,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00018,Nonconformance,Quality,Nonconformance Process Owner,Jon Miller,EMEA,DE10,Zenith Precision,Stock Blocked,2025-04-14,2025-04-28,2025-05-09,14,25,True,System integration gap,33873.25,90,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00019,Nonconformance,Quality,Nonconformance Process Owner,Thomas Weber,AMER,SG10,Pacific Electronics,Defect Logged,2025-06-24,2025-07-15,2025-07-16,21,22,True,Supplier delay,164938.75,88,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00020,Nonconformance,Quality,Nonconformance Process Owner,Kenji Tanaka,AMER,US10,Pacific Electronics,Stock Blocked,2025-10-20,2025-10-25,2025-10-23,5,3,False,,606402.58,91,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00021,Nonconformance,Quality,Nonconformance Process Owner,Sara Novak,AMER,DE10,Pacific Electronics,Disposition Decided,2026-01-15,2026-01-25,2026-01-21,10,6,False,,559270.08,92,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00022,Nonconformance,Quality,Nonconformance Process Owner,Jon Miller,AMER,SG10,Summit Supply,Disposition Decided,2025-09-22,2025-10-06,2025-10-08,14,16,True,Approval delay,78239.41,28,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00023,Nonconformance,Quality,Nonconformance Process Owner,Kenji Tanaka,EMEA,PL10,Summit Supply,Stock Blocked,2026-02-23,2026-03-05,2026-02-24,10,1,False,,165128.93,57,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00024,Nonconformance,Quality,Nonconformance Process Owner,Sara Novak,AMER,SG10,Pacific Electronics,Disposition Decided,2025-07-24,2025-07-31,2025-07-29,7,5,False,Pricing exception,289404.59,12,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00025,Nonconformance,Quality,Nonconformance Process Owner,Sara Novak,APAC,PL10,Pacific Electronics,Stock Blocked,2025-03-01,2025-03-31,2025-04-04,30,34,True,Supplier delay,384469.1,68,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00026,Nonconformance,Quality,Nonconformance Process Owner,Kenji Tanaka,AMER,US10,Zenith Precision,Stock Blocked,2025-11-20,2025-12-04,2025-12-08,14,18,True,Supplier delay,25714.2,22,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00027,Nonconformance,Quality,Nonconformance Process Owner,Alex Chen,APAC,SG10,Pacific Electronics,Defect Logged,2026-02-13,2026-03-06,2026-03-07,21,22,True,Missing master data,182452.17,72,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00028,Nonconformance,Quality,Nonconformance Process Owner,Jon Miller,APAC,US10,Summit Supply,Released Or Scrapped,2025-10-30,2025-11-29,2025-11-17,30,18,False,,492534.99,54,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00029,Nonconformance,Quality,Nonconformance Process Owner,Maria Garcia,AMER,PL10,Pacific Electronics,Defect Logged,2025-07-16,2025-07-30,2025-07-21,14,5,False,,34393.49,36,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00030,Nonconformance,Quality,Nonconformance Process Owner,Jon Miller,APAC,DE10,Meyer Metals,Released Or Scrapped,2026-03-20,2026-03-23,2026-03-24,3,4,True,Quality hold,740372.52,23,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00031,Nonconformance,Quality,Nonconformance Process Owner,Priya Rao,AMER,US10,Pacific Electronics,Defect Logged,2025-06-14,2025-06-21,2025-06-25,7,11,True,Quality hold,371257.23,80,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00032,Nonconformance,Quality,Nonconformance Process Owner,Nina Patel,EMEA,SG10,Zenith Precision,Review Board,2025-03-16,2025-03-26,2025-03-20,10,4,False,,402362.34,38,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00033,Nonconformance,Quality,Nonconformance Process Owner,Thomas Weber,EMEA,DE20,Zenith Precision,Disposition Decided,2025-01-30,2025-02-13,2025-02-06,14,7,False,,13709.54,75,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00034,Nonconformance,Quality,Nonconformance Process Owner,Thomas Weber,APAC,SG10,Meyer Metals,Review Board,2026-02-16,2026-02-26,2026-02-18,10,2,False,,501893.79,68,True
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00035,Nonconformance,Quality,Nonconformance Process Owner,Nina Patel,APAC,PL10,Meyer Metals,Released Or Scrapped,2025-04-01,2025-05-01,2025-04-17,30,16,False,,319172.64,37,False
nonconformance2disposition,Nonconformance2Disposition,NONCONFORMANCE2DISPOSITION-00036,Nonconformance,Quality,Nonconformance Process Owner,Nina Patel,APAC,PL10,Meyer Metals,Disposition Decided,2025-03-29,2025-04-12,2025-04-10,14,12,False,System integration gap,329158.06,83,False
