ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,CommitmentValue,RiskScore,ActionRequired
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00001,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Priya Rao,AMER,PL10,Euro Logistics,Build Started,2025-12-17,2026-01-16,2026-01-27,30,41,True,Approval delay,32482.59,52,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00002,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Priya Rao,AMER,US10,Pacific Electronics,Material Checked,2025-04-13,2025-04-27,2025-04-20,14,7,False,,108997.54,11,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00003,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Sara Novak,APAC,PL10,Euro Logistics,Strategy Selected,2025-06-25,2025-06-28,2025-06-27,3,2,False,,689049.25,11,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00004,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Thomas Weber,EMEA,DE20,Euro Logistics,Demand Assigned,2026-03-25,2026-03-30,2026-03-28,5,3,False,System integration gap,108836.58,52,False
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00005,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Nina Patel,APAC,DE10,Euro Logistics,Material Checked,2025-03-07,2025-03-12,2025-03-16,5,9,True,Approval delay,259032.3,46,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00006,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Alex Chen,EMEA,DE20,Euro Logistics,Demand Assigned,2025-06-20,2025-06-30,2025-07-04,10,14,True,Quality hold,536728.23,26,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00007,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Sara Novak,EMEA,PL10,Euro Logistics,Material Checked,2026-02-26,2026-03-12,2026-03-16,14,18,True,Capacity constraint,122781.49,40,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00008,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Alex Chen,AMER,DE20,Summit Supply,Material Checked,2025-11-29,2025-12-02,2025-11-30,3,1,False,,641267.93,54,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00009,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Maria Garcia,AMER,DE20,Zenith Precision,Material Checked,2025-08-14,2025-08-21,2025-08-23,7,9,True,Pricing exception,190050.09,61,True
make_strategy,Make2Stock / Make2Order / Engineer2Order,MAKE_STRATEGY-00010,Manufacturing Commitment,Manufacturing,Manufacturing Strategy Process Owner,Kenji Tanaka,AMER,SG10,Pacific Electronics,Material Checked,2025-06-12,2025-06-26,2025-06-21,14,9,False,,398269.75,86,False
