ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,InboundValue,RiskScore,ActionRequired
dock2stock,Dock2Stock,DOCK2STOCK-00001,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Kenji Tanaka,AMER,US10,Zenith Precision,Goods Received,2025-08-21,2025-08-26,2025-08-24,5,3,False,,338900.24,36,False
dock2stock,Dock2Stock,DOCK2STOCK-00002,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Sara Novak,AMER,US10,Meyer Metals,Putaway Complete,2026-02-17,2026-02-22,2026-02-26,5,9,True,Pricing exception,391471.79,19,True
dock2stock,Dock2Stock,DOCK2STOCK-00003,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Kenji Tanaka,EMEA,DE20,Euro Logistics,Quality Released,2025-03-31,2025-04-14,2025-04-09,14,9,False,,610396.3,73,False
dock2stock,Dock2Stock,DOCK2STOCK-00004,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Alex Chen,AMER,DE20,Zenith Precision,Truck Arrived,2025-04-22,2025-05-13,2025-05-07,21,15,False,,298306.9,99,False
dock2stock,Dock2Stock,DOCK2STOCK-00005,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Maria Garcia,APAC,PL10,Summit Supply,Putaway Complete,2025-01-03,2025-01-08,2025-01-11,5,8,True,Missing master data,740785.87,60,True
dock2stock,Dock2Stock,DOCK2STOCK-00006,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Kenji Tanaka,APAC,DE10,Zenith Precision,Putaway Complete,2025-10-28,2025-11-11,2025-11-12,14,15,True,Pricing exception,655052.16,22,True
dock2stock,Dock2Stock,DOCK2STOCK-00007,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Sara Novak,EMEA,PL10,Summit Supply,Truck Arrived,2025-02-13,2025-02-16,2025-02-18,3,5,True,System integration gap,539911.57,49,True
dock2stock,Dock2Stock,DOCK2STOCK-00008,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Priya Rao,EMEA,US10,Meyer Metals,Truck Arrived,2025-02-20,2025-02-23,2025-02-22,3,2,False,,589585.52,62,False
dock2stock,Dock2Stock,DOCK2STOCK-00009,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Priya Rao,APAC,SG10,Euro Logistics,Putaway Complete,2026-01-20,2026-02-10,2026-02-23,21,34,True,Missing master data,484492.99,28,True
dock2stock,Dock2Stock,DOCK2STOCK-00010,Inbound Receipt,Warehouse,Inbound Warehouse Process Owner,Thomas Weber,APAC,PL10,Pacific Electronics,Goods Received,2025-06-22,2025-06-25,2025-06-23,3,1,False,Capacity constraint,89169.65,89,True
