ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,DowntimeCost,RiskScore,ActionRequired
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00001,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Nina Patel,AMER,PL10,Zenith Precision,Failure Detected,2026-02-22,2026-03-08,2026-03-05,14,11,False,Pricing exception,275777.57,40,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00002,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Sara Novak,EMEA,US10,Euro Logistics,Reliability Reviewed,2026-02-05,2026-02-10,2026-02-09,5,4,False,,439749.54,61,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00003,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Alex Chen,EMEA,PL10,Zenith Precision,Reliability Reviewed,2025-04-25,2025-05-16,2025-05-22,21,27,True,Capacity constraint,546716.95,77,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00004,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Nina Patel,AMER,DE10,Summit Supply,Reliability Reviewed,2025-01-26,2025-02-25,2025-03-22,30,55,True,Supplier delay,724720.14,49,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00005,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Nina Patel,EMEA,DE20,Pacific Electronics,Failure Detected,2025-10-09,2025-10-14,2025-10-13,5,4,False,,578845.31,99,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00006,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Alex Chen,AMER,DE20,Meyer Metals,Failure Detected,2025-03-25,2025-03-28,2025-03-27,3,2,False,,575772.38,7,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00007,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Sara Novak,EMEA,DE10,Euro Logistics,Repair Complete,2025-03-06,2025-03-09,2025-03-08,3,2,False,,382368.71,44,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00008,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Sara Novak,APAC,DE10,Pacific Electronics,Repair Complete,2025-12-07,2025-12-14,2025-12-11,7,4,False,,356870.88,33,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00009,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Alex Chen,APAC,SG10,Zenith Precision,Repair Complete,2025-04-19,2025-04-24,2025-04-29,5,10,True,Quality hold,176780.11,19,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00010,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Maria Garcia,AMER,SG10,Meyer Metals,Failure Detected,2025-12-03,2025-12-06,2025-12-07,3,4,True,System integration gap,361921.53,66,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00011,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Thomas Weber,APAC,DE20,Summit Supply,Failure Detected,2025-09-12,2025-10-03,2025-09-27,21,15,False,,292704.26,50,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00012,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Nina Patel,APAC,SG10,Pacific Electronics,Asset Monitored,2025-02-06,2025-02-27,2025-02-21,21,15,False,,33734.94,28,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00013,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Priya Rao,AMER,PL10,Euro Logistics,Repair Complete,2025-09-03,2025-09-24,2025-09-28,21,25,True,Supplier delay,16227.07,8,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00014,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Thomas Weber,AMER,US10,Pacific Electronics,Repair Complete,2025-10-01,2025-10-04,2025-10-03,3,2,False,Quality hold,65297.26,82,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00015,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Maria Garcia,APAC,US10,Summit Supply,Repair Complete,2025-07-10,2025-07-20,2025-07-13,10,3,False,,148836.68,22,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00016,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Thomas Weber,EMEA,DE20,Zenith Precision,Asset Monitored,2026-01-07,2026-01-28,2026-01-19,21,12,False,,311856.45,71,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00017,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Maria Garcia,APAC,DE10,Summit Supply,Failure Detected,2025-05-15,2025-06-05,2025-06-06,21,22,True,Capacity constraint,515609.63,60,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00018,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Nina Patel,EMEA,SG10,Summit Supply,Asset Monitored,2025-08-04,2025-08-07,2025-08-07,3,3,False,,258959.94,51,False
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00019,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Maria Garcia,APAC,SG10,Pacific Electronics,Repair Complete,2025-01-08,2025-01-29,2025-01-21,21,13,False,,609541.4,57,True
asset2reliability,Asset2Reliability,ASSET2RELIABILITY-00020,Asset Reliability Case,Maintenance,Asset Reliability Process Owner,Maria Garcia,APAC,US10,Pacific Electronics,Work Planned,2025-06-29,2025-07-20,2025-07-01,21,2,False,,312351.8,68,True
