ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,RiskExposure,RiskScore,ActionRequired
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00001,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Jon Miller,APAC,SG10,Zenith Precision,Supplier Activated,2025-12-24,2026-01-03,2026-01-02,10,9,False,,247983.0,33,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00002,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Maria Garcia,APAC,PL10,Summit Supply,Supplier Activated,2026-01-06,2026-01-11,2026-01-13,5,7,True,Quality hold,262583.43,30,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00003,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Maria Garcia,AMER,US10,Meyer Metals,Supplier Invited,2025-03-31,2025-04-14,2025-04-19,14,19,True,Approval delay,686700.82,98,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00004,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Nina Patel,APAC,US10,Summit Supply,Documents Submitted,2025-09-09,2025-09-14,2025-09-13,5,4,False,,57381.87,67,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00005,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Sara Novak,APAC,PL10,Zenith Precision,Documents Submitted,2025-05-26,2025-06-25,2025-07-04,30,39,True,Approval delay,467073.4,40,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00006,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Thomas Weber,AMER,DE10,Summit Supply,Supplier Activated,2025-11-12,2025-11-26,2025-11-23,14,11,False,,743801.81,19,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00007,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Jon Miller,AMER,US10,Zenith Precision,Supplier Invited,2025-03-14,2025-04-04,2025-04-25,21,42,True,Supplier delay,173957.7,69,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00008,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Alex Chen,EMEA,PL10,Pacific Electronics,Supplier Activated,2025-10-24,2025-11-03,2025-11-11,10,18,True,Supplier delay,399454.7,29,True
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00009,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Alex Chen,AMER,DE10,Meyer Metals,Supplier Invited,2025-06-21,2025-07-12,2025-07-11,21,20,False,Quality hold,524239.22,53,False
supplieronboarding2risk,SupplierOnboarding2Risk,SUPPLIERONBOARDING2RISK-00010,Supplier Onboarding,Procurement,Supplier Risk Process Owner,Sara Novak,AMER,PL10,Zenith Precision,Risk Approved,2025-04-19,2025-05-03,2025-05-15,14,26,True,Approval delay,252729.88,69,True
