ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,ProjectValue,RiskScore,ActionRequired
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00001,Customer Project,Projects,Project-to-Cash Process Owner,Maria Garcia,EMEA,DE10,Zenith Precision,Billed,2025-02-05,2025-02-10,2025-02-08,5,3,False,,402840.07,40,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00002,Customer Project,Projects,Project-to-Cash Process Owner,Kenji Tanaka,EMEA,DE20,Euro Logistics,Project Created,2025-11-24,2025-12-24,2025-12-09,30,15,False,,727502.11,86,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00003,Customer Project,Projects,Project-to-Cash Process Owner,Alex Chen,APAC,DE20,Summit Supply,Cash Collected,2025-02-06,2025-02-13,2025-02-18,7,12,True,Capacity constraint,653105.95,84,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00004,Customer Project,Projects,Project-to-Cash Process Owner,Maria Garcia,AMER,PL10,Meyer Metals,Cash Collected,2025-04-26,2025-05-01,2025-04-29,5,3,False,,244323.57,88,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00005,Customer Project,Projects,Project-to-Cash Process Owner,Maria Garcia,APAC,SG10,Zenith Precision,Cash Collected,2025-11-13,2025-11-27,2025-12-05,14,22,True,Missing master data,152167.84,46,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00006,Customer Project,Projects,Project-to-Cash Process Owner,Nina Patel,AMER,SG10,Meyer Metals,Cash Collected,2025-01-16,2025-01-26,2025-01-31,10,15,True,Missing master data,499055.17,46,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00007,Customer Project,Projects,Project-to-Cash Process Owner,Jon Miller,EMEA,SG10,Zenith Precision,Billed,2025-06-18,2025-07-02,2025-06-24,14,6,False,,193132.64,26,False
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00008,Customer Project,Projects,Project-to-Cash Process Owner,Priya Rao,EMEA,US10,Meyer Metals,Billed,2026-01-13,2026-01-27,2026-01-31,14,18,True,Quality hold,126070.6,27,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00009,Customer Project,Projects,Project-to-Cash Process Owner,Sara Novak,EMEA,PL10,Summit Supply,Engineering Released,2025-03-30,2025-04-06,2025-04-01,7,2,False,Capacity constraint,700297.63,89,True
project2cash,Engineer2Order / Project2Cash,PROJECT2CASH-00010,Customer Project,Projects,Project-to-Cash Process Owner,Priya Rao,APAC,US10,Euro Logistics,Billed,2025-06-23,2025-07-03,2025-07-03,10,10,False,,169510.86,41,True
