ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,SpendValue,RiskScore,ActionRequired
procure2pay,Procure2Pay,PROCURE2PAY-00001,Purchase Order,Procurement,Procure-to-Pay Process Owner,Nina Patel,EMEA,DE20,Euro Logistics,Requisition Approved,2025-12-21,2026-01-04,2026-01-08,14,18,True,Quality hold,11919.73,50,True
procure2pay,Procure2Pay,PROCURE2PAY-00002,Purchase Order,Procurement,Procure-to-Pay Process Owner,Kenji Tanaka,AMER,SG10,Summit Supply,Goods Received,2025-05-17,2025-05-22,2025-05-21,5,4,False,,467256.84,94,False
procure2pay,Procure2Pay,PROCURE2PAY-00003,Purchase Order,Procurement,Procure-to-Pay Process Owner,Alex Chen,EMEA,DE10,Pacific Electronics,Invoice Posted,2025-09-15,2025-09-25,2025-10-07,10,22,True,Pricing exception,517733.32,33,True
procure2pay,Procure2Pay,PROCURE2PAY-00004,Purchase Order,Procurement,Procure-to-Pay Process Owner,Thomas Weber,EMEA,US10,Euro Logistics,PO Created,2025-06-20,2025-07-11,2025-07-06,21,16,False,,255337.12,99,True
procure2pay,Procure2Pay,PROCURE2PAY-00005,Purchase Order,Procurement,Procure-to-Pay Process Owner,Jon Miller,EMEA,US10,Meyer Metals,PO Created,2025-01-08,2025-02-07,2025-01-15,30,7,False,,536560.86,11,False
procure2pay,Procure2Pay,PROCURE2PAY-00006,Purchase Order,Procurement,Procure-to-Pay Process Owner,Maria Garcia,APAC,SG10,Summit Supply,Goods Received,2025-04-17,2025-04-20,2025-04-22,3,5,True,Quality hold,472710.83,25,True
procure2pay,Procure2Pay,PROCURE2PAY-00007,Purchase Order,Procurement,Procure-to-Pay Process Owner,Priya Rao,APAC,DE20,Meyer Metals,PO Created,2025-05-15,2025-06-05,2025-05-25,21,10,False,,440373.74,51,False
procure2pay,Procure2Pay,PROCURE2PAY-00008,Purchase Order,Procurement,Procure-to-Pay Process Owner,Nina Patel,AMER,DE20,Zenith Precision,Goods Received,2025-11-29,2025-12-29,2026-01-04,30,36,True,Capacity constraint,508567.44,75,True
procure2pay,Procure2Pay,PROCURE2PAY-00009,Purchase Order,Procurement,Procure-to-Pay Process Owner,Kenji Tanaka,APAC,US10,Meyer Metals,Invoice Posted,2025-06-13,2025-06-27,2025-07-02,14,19,True,System integration gap,557720.67,52,True
procure2pay,Procure2Pay,PROCURE2PAY-00010,Purchase Order,Procurement,Procure-to-Pay Process Owner,Maria Garcia,APAC,US10,Meyer Metals,Paid,2025-12-09,2025-12-19,2025-12-23,10,14,True,Missing master data,591047.65,80,True
procure2pay,Procure2Pay,PROCURE2PAY-00011,Purchase Order,Procurement,Procure-to-Pay Process Owner,Alex Chen,AMER,US10,Meyer Metals,PO Created,2025-10-16,2025-10-23,2025-10-20,7,4,False,,324065.73,19,False
procure2pay,Procure2Pay,PROCURE2PAY-00012,Purchase Order,Procurement,Procure-to-Pay Process Owner,Alex Chen,EMEA,DE20,Zenith Precision,Paid,2025-08-07,2025-08-14,2025-08-13,7,6,False,,338871.17,20,False
procure2pay,Procure2Pay,PROCURE2PAY-00013,Purchase Order,Procurement,Procure-to-Pay Process Owner,Kenji Tanaka,AMER,US10,Zenith Precision,Invoice Posted,2025-02-22,2025-03-04,2025-03-03,10,9,False,,609999.93,44,False
procure2pay,Procure2Pay,PROCURE2PAY-00014,Purchase Order,Procurement,Procure-to-Pay Process Owner,Maria Garcia,APAC,SG10,Euro Logistics,Goods Received,2026-01-12,2026-01-15,2026-01-18,3,6,True,System integration gap,706083.25,46,True
procure2pay,Procure2Pay,PROCURE2PAY-00015,Purchase Order,Procurement,Procure-to-Pay Process Owner,Sara Novak,APAC,DE20,Euro Logistics,Paid,2025-06-06,2025-06-27,2025-06-30,21,24,True,Approval delay,306984.12,69,True
procure2pay,Procure2Pay,PROCURE2PAY-00016,Purchase Order,Procurement,Procure-to-Pay Process Owner,Priya Rao,AMER,DE10,Pacific Electronics,Goods Received,2026-01-03,2026-01-06,2026-01-07,3,4,True,Capacity constraint,107378.31,32,True
procure2pay,Procure2Pay,PROCURE2PAY-00017,Purchase Order,Procurement,Procure-to-Pay Process Owner,Kenji Tanaka,AMER,PL10,Meyer Metals,Invoice Posted,2025-10-24,2025-11-07,2025-11-09,14,16,True,Quality hold,568601.24,14,True
procure2pay,Procure2Pay,PROCURE2PAY-00018,Purchase Order,Procurement,Procure-to-Pay Process Owner,Kenji Tanaka,EMEA,PL10,Pacific Electronics,PO Created,2025-09-15,2025-09-25,2025-09-24,10,9,False,,435318.26,92,False
procure2pay,Procure2Pay,PROCURE2PAY-00019,Purchase Order,Procurement,Procure-to-Pay Process Owner,Thomas Weber,APAC,PL10,Summit Supply,Paid,2026-01-03,2026-01-08,2026-01-06,5,3,False,,461482.07,60,False
procure2pay,Procure2Pay,PROCURE2PAY-00020,Purchase Order,Procurement,Procure-to-Pay Process Owner,Jon Miller,APAC,DE10,Meyer Metals,Invoice Posted,2025-07-24,2025-07-31,2025-07-29,7,5,False,Missing master data,374871.99,85,False
