ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,OrderValue,RiskScore,ActionRequired
order2cash,Order2Cash,ORDER2CASH-00001,Sales Order,Commercial,Order-to-Cash Process Owner,Kenji Tanaka,EMEA,PL10,Global Components,Billed,2025-08-10,2025-08-15,2025-08-19,5,9,True,System integration gap,239052.89,92,True
order2cash,Order2Cash,ORDER2CASH-00002,Sales Order,Commercial,Order-to-Cash Process Owner,Jon Miller,EMEA,DE10,Orion Technologies,ATP Confirmed,2025-07-22,2025-08-21,2025-08-23,30,32,True,Quality hold,586260.39,70,True
order2cash,Order2Cash,ORDER2CASH-00003,Sales Order,Commercial,Order-to-Cash Process Owner,Alex Chen,AMER,SG10,Orion Technologies,Billed,2025-08-24,2025-08-29,2025-08-31,5,7,True,Approval delay,284624.58,62,True
order2cash,Order2Cash,ORDER2CASH-00004,Sales Order,Commercial,Order-to-Cash Process Owner,Priya Rao,AMER,DE10,Atlas Systems,Order Created,2025-03-04,2025-03-18,2025-03-05,14,1,False,,518932.05,45,False
order2cash,Order2Cash,ORDER2CASH-00005,Sales Order,Commercial,Order-to-Cash Process Owner,Maria Garcia,EMEA,DE10,Apex Industries,Delivered,2025-11-05,2025-11-08,2025-11-08,3,3,False,,651598.27,62,True
order2cash,Order2Cash,ORDER2CASH-00006,Sales Order,Commercial,Order-to-Cash Process Owner,Alex Chen,AMER,SG10,Global Components,ATP Confirmed,2026-01-19,2026-01-26,2026-01-30,7,11,True,Quality hold,639585.86,46,True
order2cash,Order2Cash,ORDER2CASH-00007,Sales Order,Commercial,Order-to-Cash Process Owner,Thomas Weber,EMEA,PL10,Nova Mobility,ATP Confirmed,2025-09-26,2025-10-10,2025-10-22,14,26,True,Supplier delay,524283.57,38,True
order2cash,Order2Cash,ORDER2CASH-00008,Sales Order,Commercial,Order-to-Cash Process Owner,Jon Miller,APAC,DE20,Orion Technologies,Cash Collected,2025-06-06,2025-06-13,2025-06-14,7,8,True,System integration gap,614257.79,68,True
order2cash,Order2Cash,ORDER2CASH-00009,Sales Order,Commercial,Order-to-Cash Process Owner,Thomas Weber,APAC,DE10,Orion Technologies,Billed,2025-08-01,2025-08-22,2025-09-01,21,31,True,Quality hold,494101.44,89,True
order2cash,Order2Cash,ORDER2CASH-00010,Sales Order,Commercial,Order-to-Cash Process Owner,Thomas Weber,AMER,US10,Global Components,Order Created,2025-06-01,2025-06-11,2025-06-11,10,10,False,Missing master data,432644.25,76,False
order2cash,Order2Cash,ORDER2CASH-00011,Sales Order,Commercial,Order-to-Cash Process Owner,Priya Rao,AMER,US10,Global Components,Order Created,2026-01-19,2026-02-02,2026-01-29,14,10,False,,186016.01,63,False
order2cash,Order2Cash,ORDER2CASH-00012,Sales Order,Commercial,Order-to-Cash Process Owner,Maria Garcia,EMEA,SG10,Nova Mobility,ATP Confirmed,2025-04-12,2025-04-17,2025-04-17,5,5,False,,319365.33,7,True
order2cash,Order2Cash,ORDER2CASH-00013,Sales Order,Commercial,Order-to-Cash Process Owner,Priya Rao,APAC,SG10,Nova Mobility,Delivered,2025-01-23,2025-02-02,2025-02-01,10,9,False,,726328.06,49,False
order2cash,Order2Cash,ORDER2CASH-00014,Sales Order,Commercial,Order-to-Cash Process Owner,Alex Chen,AMER,PL10,Orion Technologies,Cash Collected,2025-08-16,2025-08-19,2025-08-19,3,3,False,Pricing exception,517163.86,62,True
order2cash,Order2Cash,ORDER2CASH-00015,Sales Order,Commercial,Order-to-Cash Process Owner,Maria Garcia,APAC,DE10,Global Components,Cash Collected,2026-02-15,2026-03-01,2026-02-21,14,6,False,,597446.9,80,False
order2cash,Order2Cash,ORDER2CASH-00016,Sales Order,Commercial,Order-to-Cash Process Owner,Kenji Tanaka,EMEA,DE20,Nova Mobility,Cash Collected,2025-06-10,2025-06-15,2025-06-12,5,2,False,,45519.91,41,False
order2cash,Order2Cash,ORDER2CASH-00017,Sales Order,Commercial,Order-to-Cash Process Owner,Jon Miller,EMEA,SG10,Global Components,Order Created,2025-11-12,2025-11-22,2025-11-19,10,7,False,,329431.28,47,False
order2cash,Order2Cash,ORDER2CASH-00018,Sales Order,Commercial,Order-to-Cash Process Owner,Maria Garcia,EMEA,DE20,Atlas Systems,Order Created,2025-04-22,2025-05-06,2025-05-20,14,28,True,Approval delay,153213.0,81,True
