ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
project2cash,Engineer2Order / Project2Cash,2025-01,Milestone Adherence,23.44,28.69,1.43,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-01,Project Margin,47.15,47.62,2.38,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-01,WIP Value,14.39,18.36,0.92,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-01,Billing Readiness,52.34,59.73,2.99,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-01,Cash Exposure,26.58,26.64,1.33,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-02,Milestone Adherence,27.69,32.25,1.61,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-02,Project Margin,15.37,17.7,0.89,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-02,WIP Value,47.03,49.89,2.49,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-02,Billing Readiness,22.65,28.46,1.42,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-02,Cash Exposure,57.67,57.18,2.86,Green,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-03,Milestone Adherence,12.38,13.59,0.68,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-03,Project Margin,58.51,55.95,2.8,Green,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-03,WIP Value,21.94,26.39,1.32,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-03,Billing Readiness,33.19,37.23,1.86,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-03,Cash Exposure,40.05,41.36,2.07,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-04,Milestone Adherence,11.08,14.22,0.71,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-04,Project Margin,37.87,42.95,2.15,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-04,WIP Value,21.43,26.74,1.34,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-04,Billing Readiness,31.21,34.69,1.73,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-04,Cash Exposure,38.86,37.57,1.88,Green,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-05,Milestone Adherence,25.63,32.79,1.64,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-05,Project Margin,16.75,21.96,1.1,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-05,WIP Value,55.59,56.89,2.84,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-05,Billing Readiness,24.15,30.91,1.55,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-05,Cash Exposure,42.27,45.12,2.26,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-06,Milestone Adherence,29.66,33.47,1.67,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-06,Project Margin,25.84,30.17,1.51,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-06,WIP Value,36.01,37.35,1.87,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-06,Billing Readiness,35.12,40.59,2.03,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-06,Cash Exposure,55.57,55.0,2.75,Green,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-07,Milestone Adherence,16.65,18.35,0.92,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-07,Project Margin,19.05,20.92,1.05,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-07,WIP Value,15.56,17.32,0.87,Red,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-07,Billing Readiness,56.57,55.98,2.8,Green,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-07,Cash Exposure,54.81,57.34,2.87,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
project2cash,Engineer2Order / Project2Cash,2025-08,Milestone Adherence,51.95,53.18,2.66,Amber,Project-to-Cash Process Owner,Project System; ERP CO; Billing; PLM
