ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,FinancialImpact,RiskScore,ActionRequired
record2report,Record2Report,RECORD2REPORT-00001,Close Task,Finance,Record-to-Report Process Owner,Sara Novak,AMER,DE10,Pacific Electronics,Subledger Closed,2025-01-15,2025-01-25,2025-02-05,10,21,True,System integration gap,445732.06,54,True
record2report,Record2Report,RECORD2REPORT-00002,Close Task,Finance,Record-to-Report Process Owner,Priya Rao,AMER,DE10,Zenith Precision,Subledger Closed,2025-01-23,2025-02-02,2025-02-07,10,15,True,Approval delay,401942.73,28,True
record2report,Record2Report,RECORD2REPORT-00003,Close Task,Finance,Record-to-Report Process Owner,Sara Novak,AMER,SG10,Pacific Electronics,Subledger Closed,2025-08-02,2025-09-01,2025-09-19,30,48,True,Missing master data,664290.63,90,True
record2report,Record2Report,RECORD2REPORT-00004,Close Task,Finance,Record-to-Report Process Owner,Priya Rao,EMEA,SG10,Euro Logistics,Subledger Closed,2025-06-14,2025-06-21,2025-06-21,7,7,False,,57117.27,81,False
record2report,Record2Report,RECORD2REPORT-00005,Close Task,Finance,Record-to-Report Process Owner,Alex Chen,EMEA,US10,Pacific Electronics,Reconciled,2025-05-15,2025-05-25,2025-05-24,10,9,False,,275603.51,94,False
record2report,Record2Report,RECORD2REPORT-00006,Close Task,Finance,Record-to-Report Process Owner,Maria Garcia,APAC,DE10,Pacific Electronics,Subledger Closed,2025-08-30,2025-09-02,2025-09-01,3,2,False,,349994.4,67,False
record2report,Record2Report,RECORD2REPORT-00007,Close Task,Finance,Record-to-Report Process Owner,Alex Chen,APAC,US10,Meyer Metals,Journal Posted,2025-12-27,2026-01-10,2026-01-22,14,26,True,Capacity constraint,336739.17,27,True
record2report,Record2Report,RECORD2REPORT-00008,Close Task,Finance,Record-to-Report Process Owner,Alex Chen,EMEA,SG10,Meyer Metals,Journal Posted,2025-05-29,2025-06-05,2025-06-05,7,7,False,Supplier delay,728686.84,42,False
record2report,Record2Report,RECORD2REPORT-00009,Close Task,Finance,Record-to-Report Process Owner,Priya Rao,APAC,DE10,Pacific Electronics,Reported,2025-11-14,2025-11-21,2025-11-19,7,5,False,,200852.47,49,False
record2report,Record2Report,RECORD2REPORT-00010,Close Task,Finance,Record-to-Report Process Owner,Maria Garcia,EMEA,DE10,Meyer Metals,Consolidated,2025-05-23,2025-06-22,2025-06-17,30,25,False,System integration gap,410606.01,32,False
record2report,Record2Report,RECORD2REPORT-00011,Close Task,Finance,Record-to-Report Process Owner,Maria Garcia,APAC,PL10,Zenith Precision,Reported,2025-06-14,2025-07-05,2025-06-30,21,16,False,,372034.27,24,False
record2report,Record2Report,RECORD2REPORT-00012,Close Task,Finance,Record-to-Report Process Owner,Sara Novak,APAC,US10,Zenith Precision,Subledger Closed,2025-08-12,2025-08-22,2025-08-19,10,7,False,,41793.35,32,False
record2report,Record2Report,RECORD2REPORT-00013,Close Task,Finance,Record-to-Report Process Owner,Jon Miller,APAC,DE20,Pacific Electronics,Subledger Closed,2026-03-26,2026-03-29,2026-03-29,3,3,False,,448641.86,54,False
record2report,Record2Report,RECORD2REPORT-00014,Close Task,Finance,Record-to-Report Process Owner,Priya Rao,APAC,SG10,Pacific Electronics,Subledger Closed,2025-07-28,2025-08-18,2025-09-04,21,38,True,Supplier delay,427605.45,57,True
record2report,Record2Report,RECORD2REPORT-00015,Close Task,Finance,Record-to-Report Process Owner,Alex Chen,AMER,SG10,Meyer Metals,Consolidated,2025-01-19,2025-01-22,2025-01-24,3,5,True,System integration gap,232905.05,23,True
record2report,Record2Report,RECORD2REPORT-00016,Close Task,Finance,Record-to-Report Process Owner,Alex Chen,APAC,US10,Summit Supply,Subledger Closed,2025-04-27,2025-05-07,2025-05-04,10,7,False,,247589.51,52,False
record2report,Record2Report,RECORD2REPORT-00017,Close Task,Finance,Record-to-Report Process Owner,Kenji Tanaka,AMER,PL10,Pacific Electronics,Reconciled,2025-11-22,2025-12-06,2025-12-04,14,12,False,,499146.48,24,False
record2report,Record2Report,RECORD2REPORT-00018,Close Task,Finance,Record-to-Report Process Owner,Jon Miller,APAC,DE10,Euro Logistics,Subledger Closed,2025-06-08,2025-06-13,2025-06-09,5,1,False,,172048.77,33,True
record2report,Record2Report,RECORD2REPORT-00019,Close Task,Finance,Record-to-Report Process Owner,Maria Garcia,AMER,DE20,Euro Logistics,Consolidated,2025-09-24,2025-09-29,2025-09-30,5,6,True,Approval delay,296082.97,5,True
record2report,Record2Report,RECORD2REPORT-00020,Close Task,Finance,Record-to-Report Process Owner,Jon Miller,EMEA,US10,Zenith Precision,Journal Posted,2025-06-29,2025-07-06,2025-06-30,7,1,False,,7075.3,19,False
record2report,Record2Report,RECORD2REPORT-00021,Close Task,Finance,Record-to-Report Process Owner,Kenji Tanaka,APAC,DE20,Zenith Precision,Consolidated,2025-02-18,2025-03-11,2025-03-21,21,31,True,Pricing exception,418713.12,10,True
record2report,Record2Report,RECORD2REPORT-00022,Close Task,Finance,Record-to-Report Process Owner,Sara Novak,EMEA,DE20,Euro Logistics,Journal Posted,2025-10-22,2025-11-05,2025-11-03,14,12,False,,135622.94,59,False
record2report,Record2Report,RECORD2REPORT-00023,Close Task,Finance,Record-to-Report Process Owner,Jon Miller,APAC,DE10,Meyer Metals,Reported,2025-04-19,2025-04-26,2025-04-26,7,7,False,Approval delay,401576.42,26,False
record2report,Record2Report,RECORD2REPORT-00024,Close Task,Finance,Record-to-Report Process Owner,Alex Chen,APAC,DE10,Pacific Electronics,Consolidated,2025-08-18,2025-08-28,2025-09-03,10,16,True,Approval delay,629926.0,20,True
record2report,Record2Report,RECORD2REPORT-00025,Close Task,Finance,Record-to-Report Process Owner,Alex Chen,APAC,US10,Summit Supply,Journal Posted,2025-10-21,2025-10-31,2025-11-06,10,16,True,System integration gap,735253.07,46,True
record2report,Record2Report,RECORD2REPORT-00026,Close Task,Finance,Record-to-Report Process Owner,Maria Garcia,AMER,SG10,Zenith Precision,Reconciled,2025-02-16,2025-02-21,2025-02-21,5,5,False,,206516.53,100,False
record2report,Record2Report,RECORD2REPORT-00027,Close Task,Finance,Record-to-Report Process Owner,Thomas Weber,EMEA,SG10,Euro Logistics,Reconciled,2025-12-28,2026-01-02,2025-12-31,5,3,False,,327341.7,68,False
record2report,Record2Report,RECORD2REPORT-00028,Close Task,Finance,Record-to-Report Process Owner,Nina Patel,EMEA,SG10,Meyer Metals,Reconciled,2025-02-14,2025-03-07,2025-03-17,21,31,True,Supplier delay,548325.32,99,True
record2report,Record2Report,RECORD2REPORT-00029,Close Task,Finance,Record-to-Report Process Owner,Nina Patel,AMER,US10,Zenith Precision,Consolidated,2026-02-12,2026-03-14,2026-03-03,30,19,False,,200039.36,58,False
record2report,Record2Report,RECORD2REPORT-00030,Close Task,Finance,Record-to-Report Process Owner,Maria Garcia,APAC,DE10,Zenith Precision,Reported,2025-03-15,2025-03-22,2025-03-24,7,9,True,Missing master data,446295.96,46,True
record2report,Record2Report,RECORD2REPORT-00031,Close Task,Finance,Record-to-Report Process Owner,Thomas Weber,EMEA,DE20,Pacific Electronics,Consolidated,2025-12-13,2025-12-20,2025-12-21,7,8,True,Missing master data,24223.34,23,True
record2report,Record2Report,RECORD2REPORT-00032,Close Task,Finance,Record-to-Report Process Owner,Maria Garcia,APAC,DE20,Euro Logistics,Journal Posted,2025-07-02,2025-07-05,2025-07-07,3,5,True,Pricing exception,467551.89,41,True
record2report,Record2Report,RECORD2REPORT-00033,Close Task,Finance,Record-to-Report Process Owner,Kenji Tanaka,AMER,US10,Zenith Precision,Reported,2025-04-14,2025-04-17,2025-04-17,3,3,False,Approval delay,131332.13,35,False
record2report,Record2Report,RECORD2REPORT-00034,Close Task,Finance,Record-to-Report Process Owner,Nina Patel,APAC,DE10,Pacific Electronics,Reconciled,2025-12-29,2026-01-03,2026-01-04,5,6,True,Approval delay,205914.79,7,True
record2report,Record2Report,RECORD2REPORT-00035,Close Task,Finance,Record-to-Report Process Owner,Kenji Tanaka,EMEA,SG10,Meyer Metals,Journal Posted,2025-11-26,2025-12-06,2025-12-12,10,16,True,Capacity constraint,291523.95,30,True
record2report,Record2Report,RECORD2REPORT-00036,Close Task,Finance,Record-to-Report Process Owner,Sara Novak,APAC,US10,Zenith Precision,Reported,2025-06-24,2025-07-24,2025-07-09,30,15,False,Supplier delay,44729.59,54,False
