ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
contract2revenue,Contract2Revenue,2025-01,Billing Readiness,31.55,37.76,1.89,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-01,Revenue Leakage,29.19,35.09,1.75,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-01,Deferred Revenue,39.73,48.12,2.41,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-01,Renewal Risk,41.83,52.27,2.61,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-01,Missing Billing Data,22.68,23.96,1.2,Amber,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-02,Billing Readiness,39.67,51.9,2.6,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-02,Revenue Leakage,13.67,16.45,0.82,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-02,Deferred Revenue,44.44,43.83,2.19,Green,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-02,Renewal Risk,14.94,21.56,1.08,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-02,Missing Billing Data,16.52,23.2,1.16,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-03,Billing Readiness,45.01,50.63,2.53,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-03,Revenue Leakage,35.2,37.36,1.87,Amber,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-03,Deferred Revenue,36.55,37.85,1.89,Amber,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-03,Renewal Risk,43.6,44.7,2.24,Amber,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-03,Missing Billing Data,36.88,48.17,2.41,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-04,Billing Readiness,28.66,34.36,1.72,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-04,Revenue Leakage,36.51,43.82,2.19,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-04,Deferred Revenue,29.55,39.02,1.95,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-04,Renewal Risk,30.11,34.61,1.73,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-04,Missing Billing Data,23.26,27.11,1.36,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-05,Billing Readiness,7.15,11.29,0.56,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-05,Revenue Leakage,42.78,46.98,2.35,Amber,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-05,Deferred Revenue,9.65,11.27,0.56,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-05,Renewal Risk,36.53,46.75,2.34,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-05,Missing Billing Data,38.92,40.5,2.02,Amber,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-06,Billing Readiness,40.58,48.79,2.44,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
contract2revenue,Contract2Revenue,2025-06,Revenue Leakage,39.67,50.64,2.53,Red,Revenue Process Owner,CLM; ERP SD; Billing; Revenue Recognition
