ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,ShipmentValue,RiskScore,ActionRequired
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00001,Shipment,Warehouse,Outbound Warehouse Process Owner,Thomas Weber,APAC,PL10,Pacific Electronics,Packed,2025-08-08,2025-08-29,2025-08-27,21,19,False,Missing master data,273009.74,46,False
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00002,Shipment,Warehouse,Outbound Warehouse Process Owner,Nina Patel,APAC,SG10,Zenith Precision,Picked,2025-05-31,2025-06-10,2025-06-03,10,3,False,,149141.67,59,False
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00003,Shipment,Warehouse,Outbound Warehouse Process Owner,Maria Garcia,AMER,US10,Meyer Metals,Wave Released,2025-02-03,2025-02-24,2025-02-04,21,1,False,,9441.98,37,False
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00004,Shipment,Warehouse,Outbound Warehouse Process Owner,Nina Patel,AMER,DE20,Meyer Metals,Picked,2025-04-01,2025-04-11,2025-04-05,10,4,False,,282815.26,23,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00005,Shipment,Warehouse,Outbound Warehouse Process Owner,Nina Patel,AMER,SG10,Meyer Metals,Shipped,2026-03-03,2026-03-06,2026-03-05,3,2,False,Capacity constraint,539962.47,79,False
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00006,Shipment,Warehouse,Outbound Warehouse Process Owner,Alex Chen,APAC,DE20,Pacific Electronics,Picked,2025-01-26,2025-02-16,2025-02-28,21,33,True,Approval delay,666339.5,70,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00007,Shipment,Warehouse,Outbound Warehouse Process Owner,Kenji Tanaka,AMER,DE10,Summit Supply,Shipped,2025-12-10,2025-12-24,2025-12-12,14,2,False,,189752.67,16,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00008,Shipment,Warehouse,Outbound Warehouse Process Owner,Alex Chen,APAC,DE20,Pacific Electronics,Wave Released,2025-01-19,2025-02-18,2025-02-02,30,14,False,,321158.05,39,False
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00009,Shipment,Warehouse,Outbound Warehouse Process Owner,Alex Chen,EMEA,DE10,Summit Supply,Shipped,2025-12-15,2025-12-18,2025-12-22,3,7,True,Quality hold,556639.65,76,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00010,Shipment,Warehouse,Outbound Warehouse Process Owner,Alex Chen,EMEA,DE10,Euro Logistics,Wave Released,2025-12-04,2026-01-03,2026-01-30,30,57,True,Quality hold,122222.73,10,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00011,Shipment,Warehouse,Outbound Warehouse Process Owner,Jon Miller,EMEA,PL10,Meyer Metals,Picked,2025-12-24,2026-01-03,2025-12-31,10,7,False,,647478.89,38,False
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00012,Shipment,Warehouse,Outbound Warehouse Process Owner,Thomas Weber,APAC,SG10,Pacific Electronics,Shipped,2025-05-13,2025-05-16,2025-05-17,3,4,True,Supplier delay,610543.6,21,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00013,Shipment,Warehouse,Outbound Warehouse Process Owner,Jon Miller,EMEA,SG10,Pacific Electronics,Shipped,2025-01-05,2025-01-10,2025-01-07,5,2,False,,682766.86,76,False
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00014,Shipment,Warehouse,Outbound Warehouse Process Owner,Maria Garcia,EMEA,DE10,Summit Supply,Staged,2025-03-03,2025-03-24,2025-03-10,21,7,False,,188266.4,22,False
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00015,Shipment,Warehouse,Outbound Warehouse Process Owner,Alex Chen,EMEA,PL10,Meyer Metals,Picked,2025-09-01,2025-09-04,2025-09-03,3,2,False,,243554.54,17,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00016,Shipment,Warehouse,Outbound Warehouse Process Owner,Thomas Weber,AMER,DE10,Euro Logistics,Wave Released,2025-05-01,2025-05-06,2025-05-07,5,6,True,Missing master data,456220.13,24,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00017,Shipment,Warehouse,Outbound Warehouse Process Owner,Priya Rao,EMEA,US10,Summit Supply,Picked,2025-02-20,2025-02-23,2025-02-21,3,1,False,,508446.22,29,False
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00018,Shipment,Warehouse,Outbound Warehouse Process Owner,Kenji Tanaka,EMEA,US10,Zenith Precision,Staged,2025-02-21,2025-03-14,2025-03-04,21,11,False,,641509.54,81,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00019,Shipment,Warehouse,Outbound Warehouse Process Owner,Alex Chen,APAC,DE20,Meyer Metals,Wave Released,2025-10-01,2025-10-22,2025-10-19,21,18,False,,647621.76,76,False
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00020,Shipment,Warehouse,Outbound Warehouse Process Owner,Nina Patel,APAC,PL10,Meyer Metals,Wave Released,2025-01-17,2025-01-27,2025-01-29,10,12,True,Quality hold,669148.15,74,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00021,Shipment,Warehouse,Outbound Warehouse Process Owner,Sara Novak,EMEA,SG10,Meyer Metals,Picked,2025-01-29,2025-02-01,2025-01-31,3,2,False,,620635.23,34,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00022,Shipment,Warehouse,Outbound Warehouse Process Owner,Kenji Tanaka,APAC,DE10,Euro Logistics,Wave Released,2025-09-11,2025-10-11,2025-09-22,30,11,False,Quality hold,658259.82,37,False
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00023,Shipment,Warehouse,Outbound Warehouse Process Owner,Jon Miller,EMEA,DE20,Zenith Precision,Wave Released,2025-06-06,2025-06-11,2025-06-16,5,10,True,Missing master data,273425.8,32,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00024,Shipment,Warehouse,Outbound Warehouse Process Owner,Thomas Weber,AMER,US10,Zenith Precision,Shipped,2025-12-09,2025-12-30,2026-01-01,21,23,True,Quality hold,494480.72,15,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00025,Shipment,Warehouse,Outbound Warehouse Process Owner,Kenji Tanaka,APAC,US10,Meyer Metals,Wave Released,2025-01-27,2025-02-06,2025-02-10,10,14,True,Quality hold,501629.95,27,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00026,Shipment,Warehouse,Outbound Warehouse Process Owner,Alex Chen,AMER,US10,Zenith Precision,Shipped,2025-02-18,2025-03-20,2025-03-25,30,35,True,System integration gap,471567.71,26,True
pick2pack2ship,Pick2Pack2Ship,PICK2PACK2SHIP-00027,Shipment,Warehouse,Outbound Warehouse Process Owner,Jon Miller,AMER,DE10,Euro Logistics,Packed,2026-02-18,2026-02-21,2026-02-23,3,5,True,Pricing exception,122067.81,70,True
