ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,ShortageValue,RiskScore,ActionRequired
demand2supply,Demand2Supply,DEMAND2SUPPLY-00001,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Maria Garcia,EMEA,US10,Summit Supply,Allocated,2026-02-16,2026-03-18,2026-02-17,30,1,False,,694917.03,53,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00002,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Thomas Weber,EMEA,DE20,Euro Logistics,Allocated,2026-03-12,2026-03-17,2026-03-18,5,6,True,Approval delay,393496.3,19,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00003,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Kenji Tanaka,EMEA,DE20,Euro Logistics,Supply Matched,2026-03-17,2026-04-16,2026-06-10,30,85,True,System integration gap,570522.78,61,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00004,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Nina Patel,APAC,SG10,Meyer Metals,ATP Checked,2026-02-09,2026-02-23,2026-02-16,14,7,False,,294910.01,91,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00005,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Thomas Weber,EMEA,DE20,Zenith Precision,Supply Matched,2025-05-27,2025-06-26,2025-06-18,30,22,False,,306384.11,72,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00006,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Alex Chen,AMER,PL10,Summit Supply,Supply Matched,2026-03-21,2026-04-04,2026-03-28,14,7,False,,171511.88,44,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00007,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Thomas Weber,EMEA,PL10,Summit Supply,Supply Matched,2025-01-22,2025-02-05,2025-02-05,14,14,False,,410931.19,75,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00008,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Jon Miller,AMER,SG10,Pacific Electronics,Allocated,2025-02-10,2025-02-15,2025-02-12,5,2,False,,586156.89,88,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00009,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Thomas Weber,APAC,DE20,Zenith Precision,Committed,2025-01-03,2025-01-17,2025-01-13,14,10,False,Supplier delay,342167.18,28,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00010,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Nina Patel,APAC,DE20,Meyer Metals,Allocated,2025-03-05,2025-03-19,2025-03-29,14,24,True,Missing master data,661743.65,97,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00011,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Alex Chen,APAC,SG10,Pacific Electronics,ATP Checked,2025-01-25,2025-01-28,2025-01-28,3,3,False,,591448.08,66,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00012,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Kenji Tanaka,AMER,US10,Summit Supply,ATP Checked,2026-02-25,2026-03-11,2026-03-16,14,19,True,Approval delay,361615.17,14,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00013,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Maria Garcia,EMEA,PL10,Zenith Precision,Demand Captured,2025-12-02,2025-12-09,2025-12-11,7,9,True,Missing master data,748503.56,100,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00014,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Jon Miller,AMER,DE20,Meyer Metals,Demand Captured,2025-11-26,2025-12-01,2025-11-27,5,1,False,Capacity constraint,672874.53,5,False
demand2supply,Demand2Supply,DEMAND2SUPPLY-00015,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Alex Chen,APAC,US10,Meyer Metals,Committed,2025-10-27,2025-11-06,2025-11-16,10,20,True,Approval delay,105299.45,82,True
demand2supply,Demand2Supply,DEMAND2SUPPLY-00016,Demand-Supply Match,Supply Chain,Demand-to-Supply Process Owner,Alex Chen,EMEA,DE10,Summit Supply,Supply Matched,2025-05-22,2025-06-05,2025-05-30,14,8,False,,692458.31,26,True
