ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,CostVariance,RiskScore,ActionRequired
design2cost,Design2Cost / Design2Source,DESIGN2COST-00001,Design Item,Engineering,Design-to-Cost Process Owner,Maria Garcia,AMER,DE20,Summit Supply,Concept Created,2025-11-24,2025-12-08,2025-12-01,14,7,False,,273498.65,71,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00002,Design Item,Engineering,Design-to-Cost Process Owner,Thomas Weber,AMER,SG10,Euro Logistics,Concept Created,2025-03-14,2025-03-17,2025-03-18,3,4,True,Capacity constraint,103530.76,91,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00003,Design Item,Engineering,Design-to-Cost Process Owner,Sara Novak,APAC,PL10,Pacific Electronics,Supplier Checked,2026-03-25,2026-03-30,2026-04-03,5,9,True,Quality hold,150985.73,100,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00004,Design Item,Engineering,Design-to-Cost Process Owner,Maria Garcia,EMEA,DE20,Pacific Electronics,Cost Reviewed,2025-05-06,2025-05-11,2025-05-13,5,7,True,Approval delay,46722.75,19,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00005,Design Item,Engineering,Design-to-Cost Process Owner,Priya Rao,EMEA,US10,Zenith Precision,Supplier Checked,2026-02-01,2026-02-15,2026-02-08,14,7,False,,698980.61,9,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00006,Design Item,Engineering,Design-to-Cost Process Owner,Maria Garcia,AMER,DE20,Zenith Precision,Supplier Checked,2025-02-02,2025-02-07,2025-02-09,5,7,True,Approval delay,320455.88,15,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00007,Design Item,Engineering,Design-to-Cost Process Owner,Priya Rao,EMEA,PL10,Zenith Precision,Supplier Checked,2026-02-01,2026-02-04,2026-02-04,3,3,False,,26536.44,47,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00008,Design Item,Engineering,Design-to-Cost Process Owner,Priya Rao,APAC,DE10,Euro Logistics,Supplier Checked,2025-11-20,2025-11-25,2025-11-25,5,5,False,,723379.85,33,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00009,Design Item,Engineering,Design-to-Cost Process Owner,Maria Garcia,AMER,PL10,Euro Logistics,Cost Reviewed,2026-01-13,2026-02-12,2026-02-09,30,27,False,,341065.13,76,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00010,Design Item,Engineering,Design-to-Cost Process Owner,Kenji Tanaka,AMER,DE20,Euro Logistics,Concept Created,2025-03-21,2025-04-04,2025-04-05,14,15,True,Supplier delay,257571.98,21,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00011,Design Item,Engineering,Design-to-Cost Process Owner,Alex Chen,APAC,SG10,Pacific Electronics,Supplier Checked,2025-03-25,2025-04-04,2025-04-06,10,12,True,Missing master data,721825.05,13,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00012,Design Item,Engineering,Design-to-Cost Process Owner,Jon Miller,AMER,SG10,Zenith Precision,Design Released,2025-01-12,2025-01-26,2025-02-01,14,20,True,System integration gap,600682.9,74,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00013,Design Item,Engineering,Design-to-Cost Process Owner,Jon Miller,APAC,US10,Summit Supply,Design Released,2026-01-15,2026-01-25,2026-02-01,10,17,True,System integration gap,714772.39,6,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00014,Design Item,Engineering,Design-to-Cost Process Owner,Maria Garcia,EMEA,SG10,Euro Logistics,BOM Estimated,2025-12-24,2026-01-23,2026-01-24,30,31,True,Capacity constraint,38561.86,46,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00015,Design Item,Engineering,Design-to-Cost Process Owner,Thomas Weber,EMEA,SG10,Pacific Electronics,Design Released,2026-03-12,2026-03-19,2026-03-18,7,6,False,,8271.22,87,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00016,Design Item,Engineering,Design-to-Cost Process Owner,Kenji Tanaka,APAC,US10,Euro Logistics,Design Released,2025-06-18,2025-07-18,2025-07-14,30,26,False,,605761.19,85,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00017,Design Item,Engineering,Design-to-Cost Process Owner,Thomas Weber,AMER,DE20,Pacific Electronics,Cost Reviewed,2025-12-07,2025-12-14,2025-12-12,7,5,False,,342938.91,17,False
design2cost,Design2Cost / Design2Source,DESIGN2COST-00018,Design Item,Engineering,Design-to-Cost Process Owner,Nina Patel,APAC,DE20,Pacific Electronics,BOM Estimated,2025-10-15,2025-10-29,2025-11-07,14,23,True,Supplier delay,186023.14,26,True
design2cost,Design2Cost / Design2Source,DESIGN2COST-00019,Design Item,Engineering,Design-to-Cost Process Owner,Kenji Tanaka,AMER,PL10,Zenith Precision,BOM Estimated,2025-06-22,2025-07-13,2025-06-24,21,2,False,System integration gap,31259.77,46,True
